,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,contractSize,currency,option_type,root,root price,Quote_Time,ER Date,Expstring,Expiry,fee,daysout,OTM,ARR,PctOTM,callPITM,POW,PctFee,BidAskSpread
43,PB230616P00075000,2023-02-03 18:15:55+00:00,75.0,1.65,4.0,6.1,0.0,0.0,13.0,13.0,0.0010000000000000002,REGULAR,USD,put,PB,60.01,2023-04-06 00:51:44.596972,,20230616,2023-06-16,5.574999999999999,70.96406716467592,-14.990000000000002,47.7832418567626,-24.979170138310288,0.0,0.0,9.290118313614396,34.42622950819672
44,PB230915P00040000,2023-03-14 17:40:48+00:00,40.0,2.0,0.0,0.0,0.0,0.0,,0.0,12.500875,REGULAR,USD,put,PB,60.01,2023-04-06 00:51:44.596972,,20230915,2023-09-15,0.0,161.96406716467592,20.009999999999998,0.0,33.34444259290118,99.99994451568425,99.99994451568425,0.0,
45,PB230915P00045000,2023-03-28 19:11:53+00:00,45.0,1.05,0.0,0.0,0.0,0.0,,0.0,12.500875,REGULAR,USD,put,PB,60.01,2023-04-06 00:51:44.596972,,20230915,2023-09-15,0.0,161.96406716467592,15.009999999999998,0.0,25.012497917013828,99.97265777486938,99.97265777486938,0.0,
46,PB230915P00055000,2023-04-03 18:57:09+00:00,55.0,3.2,0.0,0.0,0.0,0.0,,0.0,3.12596875,REGULAR,USD,put,PB,60.01,2023-04-06 00:51:44.596972,,20230915,2023-09-15,0.0,161.96406716467592,5.009999999999998,0.0,8.348608565239124,99.99858406137379,99.99858406137379,0.0,
47,PB230915P00060000,2023-04-04 14:12:11+00:00,60.0,5.01,0.0,0.0,0.0,0.0,,0.0,0.0986552734375,REGULAR,USD,put,PB,60.01,2023-04-06 00:51:44.596972,,20230915,2023-09-15,0.0,161.96406716467592,0.00999999999999801,0.0,0.01666388935177139,60.00932131637189,60.00932131637189,0.0,
48,PB230915P00070000,2023-03-03 17:22:59+00:00,70.0,3.8,8.4,12.2,0.0,0.0,14.0,19.0,34.570966796875,REGULAR,USD,put,PB,60.01,2023-04-06 00:51:44.596972,,20230915,2023-09-15,11.25,161.96406716467592,-9.990000000000002,42.24770151094877,-16.647225462422934,25.185820861289475,25.185820861289475,18.746875520746542,31.14754098360655
49,PB230915P00075000,2023-03-01 19:49:11+00:00,75.0,6.27,13.2,15.8,0.0,0.0,5.0,5.0,29.63937548828125,REGULAR,USD,put,PB,60.01,2023-04-06 00:51:44.596972,,20230915,2023-09-15,15.15,161.96406716467592,-14.990000000000002,56.89357136807768,-24.979170138310288,12.937545862646417,12.937545862646417,25.245792367938677,16.45569620253165
50,PB230915P00090000,2023-02-10 19:02:28+00:00,90.0,14.5,24.8,28.9,0.0,0.0,,0.0,0.0010000000000000002,REGULAR,USD,put,PB,60.01,2023-04-06 00:51:44.596972,,20230915,2023-09-15,27.875,161.96406716467592,-29.990000000000002,104.68041596601752,-49.97500416597234,0.0,0.0,46.45059156807199,14.186851211072657
51,AMZN230406C00050000,2023-03-30 18:03:49+00:00,50.0,51.44,0.0,0.0,0.0,0.0,1.0,0.0,0.0010000000000000002,REGULAR,USD,call,AMZN,100.895,2023-04-06 00:51:47.598143,2023-02-01 02:59,20230406,2023-04-06,0.0,-0.035967571099537035,-50.894999999999996,-0.0,-50.4435304028941,,,0.0,
52,AMZN230406C00055000,2023-04-05 17:11:59+00:00,55.0,46.29,0.0,0.0,0.0,0.0,1.0,0.0,0.0010000000000000002,REGULAR,USD,call,AMZN,100.895,2023-04-06 00:51:47.598143,2023-02-01 02:59,20230406,2023-04-06,0.0,-0.035967571099537035,-45.894999999999996,-0.0,-45.487883443183506,,,0.0,
53,AMZN230406C00060000,2023-03-24 18:25:20+00:00,60.0,38.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0010000000000000002,REGULAR,USD,call,AMZN,100.895,2023-04-06 00:51:47.598143,2023-02-01 02:59,20230406,2023-04-06,0.0,-0.035967571099537035,-40.894999999999996,-0.0,-40.532236483472914,,,0.0,
54,AMZN230406C00070000,2023-04-04 13:48:59+00:00,70.0,32.68,0.0,0.0,0.0,0.0,1.0,0.0,0.0010000000000000002,REGULAR,USD,call,AMZN,100.895,2023-04-06 00:51:47.598143,2023-02-01 02:59,20230406,2023-04-06,0.0,-0.035967571099537035,-30.894999999999996,-0.0,-30.620942564051735,,,0.0,
55,AMZN230406C00075000,2023-03-14 18:58:25+00:00,75.0,19.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0010000000000000002,REGULAR,USD,call,AMZN,100.895,2023-04-06 00:51:47.598143,2023-02-01 02:59,20230406,2023-04-06,0.0,-0.035967571099537035,-25.894999999999996,-0.0,-25.665295604341143,,,0.0,
