,strike,open_IVol,option_type,root,root price,ER Date,Expiry,fee,daysout,OTM,ARR,PctOTM,POW,PctFee,BidAskSpread
4005,87.5,35.96865789794922,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,3.375,381.4177098457639,37.239999999999995,2.589166908252518,29.854096520763186,83.25742039176103,2.705627705627706,2.941176470588238
4006,88.0,35.925933715820314,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,3.4625,381.4177098457639,36.739999999999995,2.6562934577257318,29.453262786596117,82.89487521510439,2.7757736091069427,4.285714285714283
4007,89.0,35.65127825927734,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,3.625,381.4177098457639,35.739999999999995,2.780957049604557,28.651595318261982,82.28635400527433,2.9060445727112394,2.739726027397263
4008,90.0,35.35831243896483,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,3.775,381.4177098457639,34.739999999999995,2.8960311344157796,27.849927849927848,81.676244204914,3.02629469296136,2.631578947368412
4009,91.0,35.217932983398434,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,3.975,381.4177098457639,33.739999999999995,3.0494632474974104,27.048260381593714,80.94856725601511,3.186628186628187,2.500000000000002
4010,92.0,34.89444989013671,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,4.125,381.4177098457639,32.739999999999995,3.1645373323086337,26.246592913259576,80.33046575127688,3.306878306878307,2.40963855421688
4011,92.5,34.809001525878905,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,4.225,381.4177098457639,32.239999999999995,3.241253388849448,25.84575917909251,79.96432198095272,3.38704505371172,2.35294117647058
4012,93.0,34.71744970703124,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,4.324999999999999,381.4177098457639,31.739999999999995,3.3179694453902635,25.444925444925442,79.59873462440294,3.4672118005451336,2.2988505747126355
4013,94.0,34.35734588623046,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,4.475,381.4177098457639,30.739999999999995,3.433043530201487,24.643257976591308,78.97612903393534,3.5874619207952536,2.2222222222222143
4014,95.0,34.14372497558594,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,4.675,381.4177098457639,29.739999999999995,3.586475643283118,23.841590508257173,78.23972527211967,3.747795414462081,2.127659574468096
4015,96.0,33.911793701171874,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,4.875,381.4177098457639,28.739999999999995,3.7399077563647487,23.039923039923035,77.50091611764438,3.908128908128908,2.040816326530623
4016,97.0,33.655448608398444,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,5.074999999999999,381.4177098457639,27.739999999999995,3.893339869446379,22.2382555715889,76.76344776761998,4.068462401795735,1.9607843137254835
4017,97.5,33.527276062011715,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,5.175,381.4177098457639,27.239999999999995,3.970055925987195,21.837421837421836,76.38902044984495,4.148629148629149,1.9230769230769333
4018,98.0,33.38689660644532,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,5.275,381.4177098457639,26.739999999999995,4.046771982528011,21.436588103254767,76.01880457823724,4.228795895462563,1.886792452830182
4019,99.0,33.24651715087891,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,5.525,381.4177098457639,25.739999999999995,4.238562123880049,20.634920634920633,75.17541681447616,4.429212762546096,1.8018018018017954
4020,100.0,33.0786721496582,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,5.775,381.4177098457639,24.739999999999995,4.430352265232087,19.8332531665865,74.3363132212519,4.62962962962963,1.7241379310344767
4021,102.5,32.5079991455078,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,6.3375,381.4177098457639,22.239999999999995,4.8618800832741735,17.82908449575116,72.2712760518754,5.080567580567581,3.90625
4022,105.0,31.958688232421867,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,7.0125,381.4177098457639,19.739999999999995,5.379713464924677,15.824915824915822,70.10124296404403,5.621693121693122,2.1276595744680775
4023,107.5,31.5314464111328,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,7.75,381.4177098457639,17.239999999999995,5.94549438191319,13.820747154080484,67.77649084300423,6.212922879589547,2.5641025641025665
4024,110.0,30.872273315429688,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,8.4625,381.4177098457639,14.739999999999995,6.492096284766499,11.816578483245147,65.48560608726285,6.784110950777618,1.7647058823529453
4025,112.5,30.32601412963867,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,9.262500000000001,381.4177098457639,12.239999999999995,7.105824737093024,9.81240981240981,63.04895122288296,7.425444925444927,1.6129032258064553
4026,115.0,29.7736514892578,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,10.1125,381.4177098457639,9.739999999999995,7.757911217689954,7.808241141574472,60.53104474994553,8.106862273528941,1.4778325123152745
4027,117.5,29.315892395019528,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,11.05,381.4177098457639,7.239999999999995,8.477124247760099,5.804072470739134,57.90735305520388,8.858425525092192,1.8018018018017954
4028,120.0,28.833719482421866,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,12.05,381.4177098457639,4.739999999999995,9.244284813168251,3.799903799903796,55.22834408295243,9.660092993426327,1.6528925619834653
4029,122.5,28.33323620605468,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,13.1,381.4177098457639,2.239999999999995,10.049803406846811,1.7957351290684584,52.49429494448297,10.50184383517717,1.5209125475285252
4030,125.0,28.006701385498033,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,14.275,381.4177098457639,-0.2600000000000051,10.951217071201393,-0.2084335417668792,49.70986129069358,11.443803110469778,2.090592334494766
4031,127.5,27.353631744384764,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,15.3875,381.4177098457639,-2.760000000000005,11.804683200217964,-2.2126022126022167,46.88082080613808,12.335658168991502,1.6181229773462784
4032,130.0,26.76770010375976,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,16.5875,381.4177098457639,-5.260000000000005,12.725275878707745,-4.216770883437554,44.00100248781074,13.297659130992463,1.5015015015015016
4033,132.5,26.245854736328127,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,17.9,381.4177098457639,-7.760000000000005,13.732174120805947,-6.220939554272891,41.101225044119175,14.349847683181014,1.1142061281337008
4034,135.0,25.788095642089846,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,19.2875,381.4177098457639,-10.260000000000005,14.796609405309765,-8.22510822510823,38.214914892683794,15.462161295494631,1.2919896640826873
4035,137.5,25.287612365722655,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,20.725,381.4177098457639,-12.760000000000005,15.899402718083985,-10.229276895943567,35.31765588845575,16.614558281224948,1.4423076923076956
4036,140.0,24.74745663452148,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,22.2375,381.4177098457639,-15.260000000000005,17.059733073263814,-12.233445566778904,32.41205155872463,17.827080327080328,1.1210762331838564
4037,142.5,24.9030947265625,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,24.05,381.4177098457639,-17.760000000000005,18.450211598066094,-14.237614237614242,30.05277354536685,19.280102613435947,2.479338842975198
4038,145.0,23.51455880737305,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,25.3375,381.4177098457639,-20.260000000000005,19.437930826029092,-16.24178290844958,26.56207841376442,20.312249478916147,1.7681728880157144
4039,147.5,23.154454986572265,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,27.1625,381.4177098457639,-22.760000000000005,20.83799885789897,-18.245951579284917,23.94506593955897,21.775292608625943,1.2844036697247758
4040,150.0,22.635661346435548,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,28.95,381.4177098457639,-25.260000000000005,22.209298368566046,-20.250120250120254,21.274460357647314,23.20827320827321,1.37693631669536
4041,152.5,37.31752136230468,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,37.475,381.4177098457639,-27.760000000000005,28.749342188670557,-22.25428892095559,29.91920309791623,30.042488375821712,1.8592297476759516
4042,155.0,32.20892987060546,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,36.8125,381.4177098457639,-30.260000000000005,28.241098314087655,-24.25845759179093,25.473773924037037,29.511383678050347,4.166666666666678
4043,157.5,31.17134259033203,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,38.6,381.4177098457639,-32.760000000000005,29.612397824754726,-26.262626262626267,23.213747935635993,30.944364277697613,1.5483870967741973
4044,160.0,22.08940216064453,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,37.1,381.4177098457639,-35.260000000000005,28.461656976642498,-28.266794933461604,13.513208170707719,29.74186307519641,3.208556149732609
