,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,contractSize,currency,option_type,root,root price,Quote_Time,ER Date,Expstring,Expiry,fee,daysout,OTM,ARR,PctOTM,callPITM,POW,PctFee,BidAskSpread
23,AMZN230331C00097000,2023-03-24 14:33:44+00:00,97.0,2.63,2.6,2.62,-0.66999984,-20.303026,34229.0,33539.0,43.311113769531254,REGULAR,USD,call,AMZN,97.24,2023-03-24 10:49:34.725249,2023-02-01 02:59,20230331,2023-03-31,2.615,6.548903642951389,-0.23999999999999488,149.88252712287513,-0.24681201151788862,51.69880809035953,48.30119190964047,2.689222542163719,0.7692307692307699
24,AMZN230331C00098000,2023-03-24 14:34:20+00:00,98.0,2.07,2.07,2.09,-0.6600001,-24.175827,3440.0,4698.0,42.2857333984375,REGULAR,USD,call,AMZN,97.24,2023-03-24 10:49:34.725249,2023-02-01 02:59,20230331,2023-03-31,2.085,6.548903642951389,0.7600000000000051,119.50480652053332,0.7815713698066692,44.533749296689095,55.466250703310905,2.144179350061703,0.966183574879228
25,AMZN230331C00099000,2023-03-24 14:34:12+00:00,99.0,1.61,1.6,1.61,-0.5200001,-24.413149,2352.0,6800.0,41.01621484375,REGULAR,USD,call,AMZN,97.24,2023-03-24 10:49:34.725249,2023-02-01 02:59,20230331,2023-03-31,1.6075000000000002,6.548903642951389,1.7600000000000051,92.13619975144238,1.809954751131227,37.202584833892914,62.797415166107086,1.653126285479227,0.6250000000000006
26,AMZN230331C00100000,2023-03-24 14:34:20+00:00,100.0,1.21,1.2,1.22,-0.43999994,-26.666662,7256.0,12973.0,40.11290356445312,REGULAR,USD,call,AMZN,97.24,2023-03-24 10:49:34.725249,2023-02-01 02:59,20230331,2023-03-31,1.2149999999999999,6.548903642951389,2.760000000000005,69.63949156951942,2.838338132455785,30.12198440227025,69.87801559772976,1.2494858083093376,1.6666666666666683
27,AMZN230331C00101000,2023-03-24 14:33:55+00:00,101.0,0.9,0.9,0.91,-0.35000002,-28.000004,1924.0,7698.0,39.50255810546876,REGULAR,USD,call,AMZN,97.24,2023-03-24 10:49:34.725249,2023-02-01 02:59,20230331,2023-03-31,0.9075,6.548903642951389,3.760000000000005,52.01468197476451,3.866721513780343,23.668888520252175,76.33111147974782,0.9332579185520362,1.111111111111112
28,AMZN230331C00102000,2023-03-24 14:32:55+00:00,102.0,0.63,0.63,0.65,-0.29000002,-31.52174,2347.0,6654.0,38.67248828125,REGULAR,USD,call,AMZN,97.24,2023-03-24 10:49:34.725249,2023-02-01 02:59,20230331,2023-03-31,0.645,6.548903642951389,4.760000000000005,36.96911280851031,4.8951048951049,17.81135910475644,82.18864089524357,0.6633072809543398,3.1746031746031775
29,AMZN230331C00103000,2023-03-24 14:34:18+00:00,103.0,0.47,0.46,0.47,-0.21000001,-30.882353,2105.0,9907.0,38.477177734375,REGULAR,USD,call,AMZN,97.24,2023-03-24 10:49:34.725249,2023-02-01 02:59,20230331,2023-03-31,0.46749999999999997,6.548903642951389,5.760000000000005,26.79544222942414,5.923488276429458,13.209217036046622,86.79078296395338,0.4807692307692308,2.1739130434782505
30,AMZN230331C00104000,2023-03-24 14:32:56+00:00,104.0,0.33,0.33,0.34,-0.14999998,-31.249996,419.0,3354.0,38.52600537109374,REGULAR,USD,call,AMZN,97.24,2023-03-24 10:49:34.725249,2023-02-01 02:59,20230331,2023-03-31,0.3375,6.548903642951389,6.760000000000005,19.3443032137554,6.951871657754015,9.639517977210993,90.360482022789,0.3470793911970383,3.030303030303033
31,AMZN230331C00105000,2023-03-24 14:33:12+00:00,105.0,0.23,0.23,0.24,-0.11999999,-34.285713,945.0,7716.0,38.477177734375,REGULAR,USD,call,AMZN,97.24,2023-03-24 10:49:34.725249,2023-02-01 02:59,20230331,2023-03-31,0.2375,6.548903642951389,7.760000000000005,13.612657817087129,7.980255039078574,6.815245383020842,93.18475461697916,0.2442410530645825,4.3478260869565135
32,AMZN230331C00106000,2023-03-24 14:33:11+00:00,106.0,0.17,0.16,0.17,-0.08999999,-34.615383,159.0,6335.0,38.67248828125,REGULAR,USD,call,AMZN,97.24,2023-03-24 10:49:34.725249,2023-02-01 02:59,20230331,2023-03-31,0.1675,6.548903642951389,8.760000000000005,9.600506039419344,9.008638420403132,4.794113967987955,95.20588603201205,0.17225421637186344,6.250000000000005
