,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,contractSize,currency,option_type,root,root price,Quote_Time,ER Date,Expstring,Expiry,fee,daysout,OTM,ARR,PctOTM,callPITM,POW,PctFee,BidAskSpread
2372,AMZN240119C04900000,2022-06-02 19:17:04+00:00,4900.0,44.35,36.2,44.55,0.0,0.0,3.0,53.0,332.80046096801755,REGULAR,USD,call,AMZN,126.44,2023-06-14 18:07:37.315922,2/1/2023 2:59,20240119,2024-01-19,42.4625,218.2447069916435,4773.56,56.16557604431305,3775.355900031636,7.763556631811061,92.23644336818894,33.58312242961088,18.742985409652064
2373,AMZN240119C04950000,2022-06-02 19:04:53+00:00,4950.0,40.87,34.6,42.8,0.0,0.0,3.0,39.0,328.9125312347412,REGULAR,USD,call,AMZN,126.44,2023-06-14 18:07:37.315922,2/1/2023 2:59,20240119,2024-01-19,40.75,218.2447069916435,4823.56,53.900435061660446,3814.9003479911426,7.4658582827996,92.5341417172004,32.228725086997784,19.158878504672888
2374,AMZN240119C05000000,2022-06-03 17:49:58+00:00,5000.0,37.09,33.05,41.05,-1.9799995,-5.067826,7.0,474.0,325.058170753479,REGULAR,USD,call,AMZN,126.44,2023-06-14 18:07:37.315922,2/1/2023 2:59,20240119,2024-01-19,39.05,218.2447069916435,4873.56,51.651827954793625,3854.444795950649,7.172768915776411,92.82723108422358,30.88421385637456,19.4884287454324
2375,AMZN240119C05100000,2022-06-03 14:41:34+00:00,5100.0,31.87,30.3,38.05,0.9300003,3.0058186,2.0,108.0,318.36568260192865,REGULAR,USD,call,AMZN,126.44,2023-06-14 18:07:37.315922,2/1/2023 2:59,20240119,2024-01-19,36.1125,218.2447069916435,4973.56,47.76636714513405,3933.533691869662,6.656882337812781,93.34311766218723,28.560977538753555,20.367936925098547
2376,AMZN240119C05200000,2022-06-03 13:51:00+00:00,5200.0,34.2,27.75,35.3,3.2000008,10.322583,1.0,437.0,312.124853477478,REGULAR,USD,call,AMZN,126.44,2023-06-14 18:07:37.315922,2/1/2023 2:59,20240119,2024-01-19,33.412499999999994,218.2447069916435,5073.56,44.1950499754044,4012.622587788675,6.17902468546314,93.82097531453687,26.425577348940205,21.388101983002827
2377,AMZN240119C05300000,2022-06-02 13:36:26+00:00,5300.0,29.0,25.65,32.95,0.0,0.0,1.0,698.0,306.8849984130859,REGULAR,USD,call,AMZN,126.44,2023-06-14 18:07:37.315922,2/1/2023 2:59,20240119,2024-01-19,31.125,218.2447069916435,5173.56,41.16935070660568,4091.711483707688,5.7716285125237565,94.22837148747624,24.616418854792787,22.154779969651
2378,AMZN240119C05400000,2022-06-03 19:12:26+00:00,5400.0,26.0,23.6,30.65,-3.8500004,-12.897823,23.0,2045.0,301.6420915985107,REGULAR,USD,call,AMZN,126.44,2023-06-14 18:07:37.315922,2/1/2023 2:59,20240119,2024-01-19,28.8875,218.2447069916435,5273.56,38.20978694095009,4170.8003796267,5.374113581580466,94.62588641841954,22.846804808604873,23.001631321370304
2379,AMZN240315C00050000,2023-06-12 14:50:48+00:00,50.0,77.37,77.9,79.15,0.0,0.0,1.0,194.0,78.6134951171875,REGULAR,USD,call,AMZN,126.44,2023-06-14 18:07:37.315922,2/1/2023 2:59,20240315,2024-03-15,78.8375,274.2447069916435,-76.44,82.98564368481648,-60.455552040493515,91.33177380881641,8.668226191183592,62.35170832015186,1.5792798483891344
2380,AMZN240315C00055000,2023-06-13 13:31:10+00:00,55.0,75.0,73.2,74.7,0.0,0.0,1.0,118.0,75.12231909179687,REGULAR,USD,call,AMZN,126.44,2023-06-14 18:07:37.315922,2/1/2023 2:59,20240315,2024-03-15,74.325,274.2447069916435,-71.44,78.23571227999346,-56.501107244542865,89.94415000202356,10.055849997976438,58.78282189180639,2.0080321285140563
2381,AMZN240315C00060000,2023-06-12 16:03:44+00:00,60.0,68.6,68.7,69.8,0.0,0.0,2.0,315.0,70.6179696044922,REGULAR,USD,call,AMZN,126.44,2023-06-14 18:07:37.315922,2/1/2023 2:59,20240315,2024-03-15,69.525,274.2447069916435,-66.44,73.18315366655293,-52.546662448592215,88.83441919549853,11.165580804501474,54.98655488769378,1.5759312320916825
2382,AMZN240315C00065000,2023-05-15 16:10:44+00:00,65.0,49.16,64.2,65.2,0.0,0.0,1.0,337.0,67.2122419433594,REGULAR,USD,call,AMZN,126.44,2023-06-14 18:07:37.315922,2/1/2023 2:59,20240315,2024-03-15,64.95,274.2447069916435,-61.44,68.36743373811738,-48.59221765264157,87.32910054828828,12.670899451711719,51.36823789939893,1.5337423312883436
2383,AMZN240315C00070000,2023-06-07 19:00:31+00:00,70.0,56.0,59.5,60.85,0.0,0.0,2.0,1340.0,63.867548828124995,REGULAR,USD,call,AMZN,126.44,2023-06-14 18:07:37.315922,2/1/2023 2:59,20240315,2024-03-15,60.5125,274.2447069916435,-56.44,63.69644856162939,-44.63777285669092,85.72472821866144,14.27527178133856,47.85866814299273,2.2185702547247352
2384,AMZN240315C00075000,2023-06-12 19:52:57+00:00,75.0,55.36,55.15,56.25,0.0,0.0,2979.0,5355.0,60.693752441406254,REGULAR,USD,call,AMZN,126.44,2023-06-14 18:07:37.315922,2/1/2023 2:59,20240315,2024-03-15,55.975,274.2447069916435,-51.44,58.92020174736137,-40.68332806074027,83.95822203057539,16.041777969424615,44.27000949066751,1.9555555555555582
2385,AMZN240315C00080000,2023-06-08 17:51:50+00:00,80.0,48.9,50.55,51.85,0.0,0.0,26.0,988.0,57.31243859863282,REGULAR,USD,call,AMZN,126.44,2023-06-14 18:07:37.315922,2/1/2023 2:59,20240315,2024-03-15,51.525,274.2447069916435,-46.44,54.23605886615086,-36.72888326478962,82.1579331335082,17.842066866491805,40.75055362227143,2.5072324011571925
2386,AMZN240315C00085000,2023-06-12 19:46:32+00:00,85.0,46.45,46.2,47.5,0.0,0.0,1.0,760.0,54.47433221435547,REGULAR,USD,call,AMZN,126.44,2023-06-14 18:07:37.315922,2/1/2023 2:59,20240315,2024-03-15,47.175,274.2447069916435,-41.44,49.65717762272037,-32.77443846883897,79.98300844234359,20.01699155765641,37.31018664979437,2.7368421052631517
